Locus_Tag,Recovery_6hours_vs_initial_encounter_ratio,Recovery_6hours_vs_initial_encounter_FDR,Recovery_6hours_vs_initial_encounter_siignificance,Recovery_10hours_vs_recovery_6hours_ratio,Recovery_10hours_vs_recovery_6hours_FDR,Recovery_10hours_vs_recovery_6hours_significance,Recovery_10hours_vs_initial_encounter_ratio,Recovery_10hours_vs_initial_encounter_FDR,Recovery_10hours_vs_initial_encounter_significance,Recovery_15hours_vs_recovery_6hours_ratio,Recovery_15hours_vs_recovery_6hours_FDR,Recovery_15hours_vs_recovery_6hours_significance,Recovery_15hours_vs_initial_encounter_ratio,Recovery_15hours_vs_initial_encounter_FDR,Recovery_15hours_vs_initial_encounter_significance,Locus Tag,min,max,Direction,McLean_product,NcLean_KEGG,McLean_COG,McLean_transport_group,Alternative_locus_tag,Genbank_protein_id,Genbank_product,PATRIC_id,PATRIC_product,PATRIC_class,eggNog_product,eggNog_gene_name,eggNog_EC,eggNog_KEGG,eggNog_KEGG_pathway,eggNog_KEGG_module,eggNog_KEGG_reaction,eggNog_KEGG_rclass,eggNog_COG,eggNog_GO,Locus_Tag
TM7x_02000,-2.87,9.89E-06,initial,0.30,7.96E-01,no,-2.57,1.91E-05,initial,0.21,7.63E-01,no,-2.66,1.64E-05,initial,TM7x_02000,364107,364856,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00405,AJA06820.1,hypothetical protein,fig|1476577.3.peg.371,hypothetical protein,,,,,,,,,,,,TM7x_02000
TM7x_02005,0.22,5.70E-02,no,0.13,5.54E-01,no,0.35,6.43E-03,no,0.01,9.87E-01,no,0.23,5.09E-02,no,TM7x_02005,364930,366114,reverse,elongation factor Tu,K02358,J: Translation,,TM7x001_00406,AJA06485.1,elongation factor Tu,fig|1476577.3.peg.372,Translation elongation factor Tu,"Stress Response, Defense, Virulence",This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis,tuf,,K02358,"ko02010,map02010",M00491,,,J: Translation,"GO:0001666,GO:0001817,GO:0001819,GO:0002791,GO:0002793,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006950,GO:0008150,GO:0009274,GO:0009275,GO:0009628,GO:0009986,GO:0010035,GO:0010038,GO:0010039,GO:0010339,GO:0016020,GO:0019899,GO:0022610,GO:0030312,GO:0032677,GO:0032757,GO:0032879,GO:0032880,GO:0035375,GO:0035821,GO:0036293,GO:0040007,GO:0042221,GO:0044003,GO:0044068,GO:0044403,GO:0044406,GO:0044419,GO:0044424,GO:0044426,GO:0044444,GO:0044462,GO:0044464,GO:0044650,GO:0044651,GO:0048518,GO:0048522,GO:0050707,GO:0050708,GO:0050714,GO:0050715,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051222,GO:0051223,GO:0051239,GO:0051240,GO:0051701,GO:0051704,GO:0051817,GO:0065007,GO:0070201,GO:0070482,GO:0071944,GO:0090087,GO:1903530,GO:1903532,GO:1904951,GO:2000482,GO:2000484",TM7x_02005
TM7x_02010,0.64,3.83E-03,recovery,-0.06,9.63E-01,no,0.59,6.56E-03,recovery,-0.24,1.32E-01,no,0.40,4.54E-02,no,TM7x_02010,366227,367438,reverse,queuine tRNA-ribosyltransferase,K00773,J: Translation,,TM7x001_00407,AJA06486.1,queuine tRNA-ribosyltransferase,fig|1476577.3.peg.373,Queuine tRNA-ribosyltransferase (EC 2.4.2.29),RNA Processing,"Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, two additional enzymatic reactions on the tRNA convert PreQ1 to queuine (Q), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine)",tgt,2.4.2.29,K00773,,,"R03789,R10209",RC00063,J: Translation,,TM7x_02010
TM7x_02015,0.46,1.28E-01,no,-0.16,9.18E-01,no,0.30,3.10E-01,no,0.00,9.97E-01,no,0.46,1.28E-01,no,TM7x_02015,367455,367961,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00408,AJA06821.1,hypothetical protein,fig|1476577.3.peg.374,hypothetical protein,,,,,,,,,,,,TM7x_02015
TM7x_02020,-5.64,1.47E-02,initial,-0.09,9.98E-01,no,-5.73,1.27E-02,initial,0.04,9.97E-01,no,-5.61,1.41E-02,initial,TM7x_02020,367933,369144,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00409,AJA06822.1,hypothetical protein,fig|1476577.3.peg.375,hypothetical protein,,,,,,,,,,,,TM7x_02020
TM7x_02025,-1.23,2.43E-01,no,0.07,9.98E-01,no,-1.16,2.61E-01,no,0.02,9.97E-01,no,-1.21,2.49E-01,no,TM7x_02025,369214,371181,forward,"1,4-alpha-glucan branching enzyme",K00700,G: Carbohydrate metabolism and transport,,TM7x001_00410,AJA06487.1,"1,4-alpha-glucan branching protein",fig|1476577.3.peg.376,"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)",,"1,4-alpha-glucan branching enzyme",glgB,2.4.1.18,K00700,"ko00500,ko01100,ko01110,map00500,map01100,map01110",M00565,R02110,,G: Carbohydrate metabolism and transport,,TM7x_02025
TM7x_02030,-2.38,2.41E-07,initial,0.02,9.98E-01,no,-2.36,2.55E-07,initial,0.06,9.14E-01,no,-2.32,3.07E-07,initial,TM7x_02030,371300,371707,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00411,AJA06823.1,hypothetical protein,,,,,,,,,,,,,,TM7x_02030
TM7x_02035,-1.45,1.43E-06,initial,0.29,1.26E-01,no,-1.17,7.42E-06,initial,0.21,1.51E-01,no,-1.24,4.83E-06,initial,TM7x_02035,371806,373194,forward,hypothetical protein,,S: Function Unknown,amino acid,TM7x001_00412,AJA06824.1,hypothetical protein,fig|1476577.3.peg.377,hypothetical protein,,"Threonine/Serine exporter, ThrE",thrE,,,,,,,S: Function Unknown,,TM7x_02035
TM7x_02040,-1.89,8.04E-07,initial,0.25,3.00E-01,no,-1.64,2.17E-06,initial,0.13,5.34E-01,no,-1.76,1.27E-06,initial,TM7x_02040,373194,373673,forward,phosphohydrolase,K04567,S: Function Unknown,,TM7x001_00413,AJA06488.1,phosphohydrolase,fig|1476577.3.peg.378,hypothetical protein,,Metal dependent phosphohydrolases with conserved 'HD' motif.,,6.1.1.6,K04567,"ko00970,map00970","M00359,M00360",R03658,"RC00055,RC00523",S: Function Unknown,,TM7x_02040
TM7x_02045,0.47,3.72E-03,no,-0.30,1.26E-01,no,0.17,2.09E-01,no,-0.52,4.08E-03,hour6,-0.05,7.39E-01,no,TM7x_02045,373737,375827,reverse,elongation factor G,K02355,J: Translation,,TM7x001_00414,AJA06489.1,elongation factor G,fig|1476577.3.peg.379,Translation elongation factor G,"Stress Response, Defense, Virulence","Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome",fusA,,K02355,,,,,J: Translation,"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0019538,GO:0030312,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",TM7x_02045
TM7x_02050,0.37,2.63E-03,no,0.17,1.29E-01,no,0.55,1.71E-04,recovery,0.16,7.73E-02,no,0.54,1.91E-04,recovery,TM7x_02050,375931,378453,reverse,hypothetical protein,K04771,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x001_00415,AJA06825.1,hypothetical protein,fig|1476577.3.peg.380,hypothetical protein,,Peptidase S46,,3.4.21.107,K04771,"ko01503,ko02020,map01503,map02020",M00728,,,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x_02050
TM7x_02055,0.03,9.00E-01,no,0.39,1.19E-01,no,0.42,6.26E-02,no,0.46,2.13E-02,no,0.49,3.26E-02,no,TM7x_02055,378466,378960,reverse,hypothetical protein,K09767,S: Function Unknown,,TM7x001_00416,AJA06490.1,hypothetical protein,fig|1476577.3.peg.381,UPF0234 protein Yitk,,Protein of unknown function (DUF520),trpF,,K09767,,,,,S: Function Unknown,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0044424,GO:0044444,GO:0044464,GO:0071944",TM7x_02055
TM7x_02060,-0.62,4.71E-04,initial,-0.18,4.12E-01,no,-0.79,6.71E-05,initial,-0.16,3.17E-01,no,-0.77,8.77E-05,initial,TM7x_02060,379040,379519,reverse,30S ribosomal protein S7,K02992,J: Translation,,TM7x001_00417,AJA06491.1,30S ribosomal protein S7,fig|1476577.3.peg.382,SSU ribosomal protein S7p (S5e),Protein Processing,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA",rpsG,,K02992,"ko03010,map03010","M00178,M00179",,,J: Translation,"GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006417,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0015935,GO:0016020,GO:0016043,GO:0017148,GO:0019222,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030312,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032991,GO:0034248,GO:0034249,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0060255,GO:0065003,GO:0065007,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0080090,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904,GO:2000112,GO:2000113",TM7x_02060
TM7x_02065,-1.04,3.99E-06,initial,-0.16,4.26E-01,no,-1.20,1.26E-06,initial,0.01,9.77E-01,no,-1.03,4.15E-06,initial,TM7x_02065,379522,379935,reverse,30S ribosomal protein S12,K02950,J: Translation,,TM7x001_00418,AJA06492.1,30S ribosomal protein S12,fig|1476577.3.peg.383,SSU ribosomal protein S12p (S23e),"Protein Processing/ Stress Response, Defense, Virulence","Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit",rpsL,,K02950,"ko03010,map03010","M00178,M00179",,,J: Translation,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",TM7x_02065
TM7x_02070,-0.03,7.63E-01,no,-0.34,3.28E-02,no,-0.37,3.42E-03,no,-0.47,2.09E-03,no,-0.50,4.02E-04,initial,TM7x_02070,380236,384081,reverse,DNA-directed RNA polymerase subunit beta',K03046,K: Transcription,,TM7x001_00419,AJA06493.1,DNA-directed RNA polymerase subunit beta',fig|1476577.3.peg.384,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6),"RNA Processing/ Stress Response, Defense, Virulence",DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoC,2.7.7.6,K03046,"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020",M00183,"R00435,R00441,R00442,R00443",RC02795,K: Transcription,"GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0030880,GO:0032991,GO:0044424,GO:0044464,GO:0061695,GO:1902494,GO:1990234",TM7x_02070
TM7x_02075,-0.24,4.30E-02,no,-0.01,9.98E-01,no,-0.26,3.51E-02,no,-0.07,7.05E-01,no,-0.31,1.39E-02,no,TM7x_02075,384083,387427,reverse,DNA-directed RNA polymerase subunit beta,K03043,K: Transcription,,TM7x001_00420,AJA06494.1,DNA-directed RNA polymerase subunit beta,fig|1476577.3.peg.385,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),"RNA Processing/ Stress Response, Defense, Virulence",DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoB,2.7.7.6,K03043,"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020",M00183,"R00435,R00441,R00442,R00443",RC02795,K: Transcription,"GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0030880,GO:0032991,GO:0044424,GO:0044464,GO:0061695,GO:1902494,GO:1990234",TM7x_02075
TM7x_02080,0.04,8.93E-01,no,-0.20,6.16E-01,no,-0.16,5.19E-01,no,-0.18,5.20E-01,no,-0.14,5.94E-01,no,TM7x_02080,387607,388347,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00421,AJA06826.1,hypothetical protein,fig|1476577.3.peg.386,hypothetical protein,,,,,,,,,,,,TM7x_02080
TM7x_02085,-0.32,2.90E-01,no,-0.11,9.54E-01,no,-0.43,1.59E-01,no,0.00,9.97E-01,no,-0.32,2.90E-01,no,TM7x_02085,388328,388990,reverse,hypothetical protein,K00943,F: Nucleotide metabolism and transport,,TM7x001_00422,AJA06827.1,hypothetical protein,fig|1476577.3.peg.387,Thymidylate kinase ,,Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis,tmk,2.7.4.9,K00943,"ko00240,ko01100,map00240,map01100",M00053,"R02094,R02098",RC00002,F: Nucleotide metabolism and transport,"GO:0003674,GO:0003824,GO:0004798,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006220,GO:0006221,GO:0006227,GO:0006233,GO:0006235,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009041,GO:0009058,GO:0009117,GO:0009123,GO:0009132,GO:0009133,GO:0009138,GO:0009139,GO:0009141,GO:0009142,GO:0009147,GO:0009148,GO:0009165,GO:0009186,GO:0009189,GO:0009196,GO:0009197,GO:0009200,GO:0009202,GO:0009211,GO:0009212,GO:0009219,GO:0009221,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009987,GO:0015949,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019692,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046072,GO:0046075,GO:0046077,GO:0046385,GO:0046483,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",TM7x_02085
TM7x_02090,-0.34,1.12E-01,no,-0.07,9.64E-01,no,-0.41,5.81E-02,no,0.11,7.05E-01,no,-0.23,2.73E-01,no,TM7x_02090,388990,389430,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00423,AJA06828.1,hypothetical protein,fig|1476577.3.peg.388,hypothetical protein,,,,,,,,,,,,TM7x_02090
TM7x_02095,-0.99,3.24E-03,initial,-0.16,8.55E-01,no,-1.15,1.19E-03,initial,0.07,9.14E-01,no,-0.93,4.90E-03,initial,TM7x_02095,389433,390152,reverse,deoxycytidine triphosphate deaminase,K01494,F: Nucleotide metabolism and transport,,TM7x001_00424,AJA06495.1,deoxycytidine triphosphate deaminase,fig|1476577.3.peg.389,Deoxycytidine triphosphate deaminase (dUMP- forming),,dUTPase,,3.5.4.13,K01494,"ko00240,ko01100,map00240,map01100",M00053,"R00568,R02325",RC00074,F: Nucleotide metabolism and transport,,TM7x_02095
TM7x_02100,1.24,1.01E-03,recovery,-0.25,4.78E-01,no,0.98,4.63E-03,recovery,-0.38,1.21E-01,no,0.86,1.04E-02,recovery,TM7x_02100,390257,390760,forward,dihydrofolate reductase,K00287,H: Coenzyme metabolism,,TM7x001_00425,AJA06496.1,dihydrofolate reductase,fig|1476577.3.peg.390,Dihydrofolate reductase (EC 1.5.1.3),"Stress Response, Defense, Virulence",dihydrofolate reductase activity,folA,1.5.1.3,K00287,"ko00670,ko00790,ko01100,ko01523,map00670,map00790,map01100,map01523","M00126,M00840","R00936,R00937,R00939,R00940,R02235,R02236,R11765","RC00109,RC00110,RC00158",H: Coenzyme metabolism,,TM7x_02100
TM7x_02105,0.92,5.38E-04,recovery,-0.24,3.45E-01,no,0.68,4.19E-03,recovery,-0.31,9.97E-02,no,0.61,8.38E-03,recovery,TM7x_02105,390766,391704,reverse,thymidylate synthase,K00560,F: Nucleotide metabolism and transport,,TM7x001_00426,AJA06497.1,thymidylate synthase,fig|1476577.3.peg.391,Thymidylate synthase (EC 2.1.1.45),,"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis",thyA,2.1.1.45,K00560,"ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523",M00053,R02101,"RC00219,RC00332",F: Nucleotide metabolism and transport,,TM7x_02105
TM7x_02110,0.26,8.93E-03,no,-0.28,1.75E-02,no,-0.01,8.74E-01,no,-0.44,3.11E-04,no,-0.18,5.66E-02,no,TM7x_02110,391789,392388,reverse,Clp protease ClpP,K01358,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x001_00427,AJA06498.1,Clp protease ClpP,fig|1476577.3.peg.392,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92),,Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins,clpP,3.4.21.92,K01358,"ko04112,ko04212,map04112,map04212",,,,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x_02110
TM7x_02115,0.19,1.71E-02,no,-0.21,3.28E-02,no,-0.01,8.46E-01,no,-0.31,1.61E-03,no,-0.12,1.21E-01,no,TM7x_02115,392390,393679,reverse,hypothetical protein,K03545,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x001_00428,AJA06829.1,hypothetical protein,fig|1476577.3.peg.393,Cell division trigger factor (EC 5.2.1.8),,Bacterial trigger factor protein (TF) C-terminus,tig,,K03545,,,,,"O: Post-translational modification, protein turnover, chaperone functions","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",TM7x_02115
TM7x_02120,0.43,2.18E-03,no,-0.18,1.95E-01,no,0.26,3.66E-02,no,-0.31,9.52E-03,no,0.13,2.79E-01,no,TM7x_02120,393706,395040,reverse,histidyl-tRNA synthetase,K01892,J: Translation,,TM7x001_00429,AJA06499.1,histidyl-tRNA synthetase,fig|1476577.3.peg.394,Histidyl-tRNA synthetase (EC 6.1.1.21),Protein Processing,Histidyl-tRNA synthetase,hisS,6.1.1.21,K01892,"ko00970,map00970","M00359,M00360",R03655,"RC00055,RC00523",J: Translation,,TM7x_02120
TM7x_02125,-1.28,9.12E-04,initial,-0.21,8.09E-01,no,-1.48,3.05E-04,initial,-0.43,2.05E-01,no,-1.71,1.14E-04,initial,TM7x_02125,395306,395530,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00430,AJA06830.1,hypothetical protein,,,,,,,,,,,,,,TM7x_02125
TM7x_02130,1.05,4.79E-04,recovery,-0.03,9.98E-01,no,1.01,5.72E-04,recovery,-0.04,9.35E-01,no,1.01,6.37E-04,recovery,TM7x_02130,395620,396048,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00431,AJA06831.1,hypothetical protein,fig|1476577.3.peg.395,hypothetical protein,,,,,,,,,,,,TM7x_02130
TM7x_02135,-0.62,4.37E-01,no,-0.12,9.98E-01,no,-0.74,3.49E-01,no,-0.13,9.51E-01,no,-0.75,3.46E-01,no,TM7x_02135,396045,396581,reverse,RNA methyltransferase,K03218,J: Translation,,TM7x001_00432,AJA06500.1,RNA methyltransferase,fig|1476577.3.peg.396,probable RNA methyltransferase,,rRNA methyltransferase,spoU,2.1.1.185,K03218,,,,,J: Translation,,TM7x_02135
TM7x_02140,-2.18,1.90E-09,initial,0.16,4.05E-01,no,-2.02,4.00E-09,initial,0.29,4.00E-02,no,-1.89,9.03E-09,initial,TM7x_02140,396869,397252,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00433,AJA06832.1,hypothetical protein,,,,,,,,,,,,,,TM7x_02140
TM7x_02150,0.23,4.72E-01,no,0.11,9.63E-01,no,0.34,2.76E-01,no,-0.03,9.77E-01,no,0.20,5.29E-01,no,TM7x_02150,397500,399110,reverse,hypothetical protein,,C: Energy production and conversion,,TM7x001_00435,AJA06833.1,hypothetical protein,fig|1476577.3.peg.397,hypothetical protein,,"TIGRFAM glycerol-3-phosphate dehydrogenase, anaerobic, C subunit",,,,,,,,C: Energy production and conversion,,TM7x_02150
TM7x_02155,-0.17,4.68E-01,no,0.00,9.98E-01,no,-0.17,4.73E-01,no,-0.08,8.42E-01,no,-0.25,2.91E-01,no,TM7x_02155,399995,400366,forward,EXLDI protein,,S: Function Unknown,,TM7x001_00436,AJA06501.1,EXLDI protein,fig|1476577.3.peg.398,hypothetical protein,,,,,,,,,,,,TM7x_02155
TM7x_02165,-0.86,7.60E-03,initial,-0.06,9.98E-01,no,-0.92,5.01E-03,initial,-0.19,5.39E-01,no,-1.05,2.23E-03,initial,TM7x_02165,400745,402037,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00438,AJA06834.1,hypothetical protein,fig|1476577.3.peg.399,hypothetical protein,,,,,,,,,,,,TM7x_02165
TM7x_02170,0.99,8.89E-05,recovery,0.19,4.32E-01,no,1.17,2.02E-05,recovery,-0.09,7.05E-01,no,0.90,1.80E-04,recovery,TM7x_02170,402581,403210,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00439,AJA06502.1,hypothetical protein,fig|1476577.3.peg.400,Glycoprotein gp2,,,,,,,,,,,,TM7x_02170
TM7x_02175,0.60,1.61E-03,recovery,0.18,3.45E-01,no,0.77,2.44E-04,recovery,0.00,9.95E-01,no,0.59,1.72E-03,recovery,TM7x_02175,403252,404982,forward,signal peptidase I,K00564,U: Intracellular trafficing and secretion,,TM7x001_00440,AJA06503.1,signal peptidase I,fig|1476577.3.peg.401,hypothetical protein,,signal peptide processing,,"2.1.1.172,3.4.21.89",K00564,"ko03060,map03060",,R07234,RC00003,U: Intracellular trafficing and secretion,,TM7x_02175
TM7x_02185,0.40,2.45E-02,no,-0.10,7.42E-01,no,0.30,7.80E-02,no,0.00,9.97E-01,no,0.40,2.43E-02,no,TM7x_02185,405102,405623,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00442,AJA06835.1,hypothetical protein,fig|1476577.3.peg.402,hypothetical protein,,,,,,,,,,,,TM7x_02185
TM7x_02190,-0.63,1.22E-05,initial,-0.01,9.98E-01,no,-0.63,1.04E-05,initial,-0.06,6.02E-01,no,-0.69,5.74E-06,initial,TM7x_02190,405722,407545,forward,GTP-binding protein TypA,K06207,T: Signal Transduction,,TM7x001_00443,AJA06504.1,GTP-binding protein TypA,fig|1476577.3.peg.403,GTP-binding protein TypA/BipA,,elongation factor Tu domain 2 protein,typA,,K06207,,,,,T: Signal Transduction,"GO:0000027,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006996,GO:0008150,GO:0009266,GO:0009408,GO:0009409,GO:0009628,GO:0009987,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0034622,GO:0042254,GO:0042255,GO:0042273,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0065003,GO:0070925,GO:0071826,GO:0071840",TM7x_02190
TM7x_02195,0.29,7.01E-02,no,0.35,4.49E-02,no,0.64,1.10E-03,recovery,0.07,7.05E-01,no,0.37,2.92E-02,no,TM7x_02195,407608,408177,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00444,AJA06836.1,hypothetical protein,fig|1476577.3.peg.404,hypothetical protein,,,,,,,,,,,,TM7x_02195
TM7x_02200,-2.33,6.60E-02,no,0.09,9.98E-01,no,-2.24,7.44E-02,no,0.11,9.77E-01,no,-2.22,7.73E-02,no,TM7x_02200,408215,409381,reverse,Replication-associated recombination protein RarA,K07478,L: Replication and repair,,TM7x001_00445,AJA06505.1,ATPase AAA,fig|1476577.3.peg.405,Replication-associated recombination protein RarA,DNA Processing,MgsA AAA+ ATPase C terminal,rarA,,K07478,,,,,L: Replication and repair,,TM7x_02200
TM7x_02205,-0.67,5.71E-01,no,0.34,9.83E-01,no,-0.33,7.74E-01,no,0.28,9.14E-01,no,-0.40,7.39E-01,no,TM7x_02205,409471,410214,forward,membrane protein,,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x001_00446,AJA06506.1,membrane protein,fig|1476577.3.peg.406,Putative stomatin/prohibitin-family membrane protease subunit aq_911,,prohibitin homologues,hflC,,,,,,,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x_02205
